ID,Window,RT_s,Ave_Area_Prop,lnLib,Comp,Group,Syn,Candidate
1,Win001_C01,114.03,0,716,Carbon dioxide,co2,,
2,Win001_C02,117.23,0.003637149,-167,Sulfur dioxide,sulfur_comp,,
3,Win001_C03,119.16,0.002103514,-370,unk,unk,,
4,Win001_C04,121.08,0.005100392,-1502,unk,unk,,
5,Win001_C05,128.14,0.00542237,-330,unk,unk,,
6,Win001_C06,129.43,0.022300002,242,"2-Propanone, 1-hydroxy-",carbohydrate,,
7,Win001_C07,131.35,0.002801788,-585,unk,unk,,
8,Win001_C08,134.88,0.005972783,-1230,unk,unk,,
9,Win001_C09,147.08,0.009459771,-1008,unk,unk,,
10,Win001_C10,148.68,0.005590468,134,2-Methylfuran,carbohydrate,,
11,Win001_C11,151.25,0.029580263,-102,Acetic acid,carbohydrate,,
12,Win001_C12,161.84,0.003568437,-573,unk,unk,,
13,Win001_C13,169.87,0.006875959,-1230,unk,unk,,
14,Win001_C14,177.25,0.005304346,-948,unk,unk,,
15,Win001_C15,185.27,0.002765263,-1008,unk,unk,,
16,Win001_C16,188.48,0.003446707,-1449,"2-Cyclopenten-1-one, 3-methyl-",carbohydrate,,
17,Win001_C17,199.71,0.002179752,-1558,unk,unk,,
18,Win001_C18,208.7,0.001177885,-1558,unk,unk,,
19,Win002_C01,222.5,0.001151858,-176,Pyrrole,N_comp,,Pyridine
20,Win002_C02,225.7,0.005689383,-228,Toluene,aromatic,,
21,Win002_C03,237.58,0.004125108,-1558,unk,unk,,
22,Win002_C04,250.41,0.004200443,-1449,unk,unk,,
23,Win002_C05,257.8,0.002301234,124,(2H)-Furan-3-one,carbohydrate,,
24,Win002_C06,266.14,0.000671527,-1210,3-Furaldehyde,carbohydrate,,
25,Win002_C07,267.42,0.000674726,-1558,unk,unk,,
26,Win002_C08,271.27,0.000195035,-1275,unk,unk,,"2(5H)-Furanone, 5-methyl-"
27,Win003_C01,281.87,0.00149099,-266,2-Cyclopenten-1-one,carbohydrate,,
28,Win003_C02,288.6,0.007262314,-349,2-furaldehyde,carbohydrate,,
29,Win003_C03,303.69,0.002049873,-1051,p-Xylene,aromatic,,
30,Win003_C04,308.82,0.00141066,-1275,unk,unk,,
31,Win003_C05,323.9,0.004938449,-449,Styrene,aromatic,,
32,Win003_C06,348.29,0.001040301,-579,Acetylfuran,carbohydrate,,
33,Win003_C07,359.53,0.001770691,-426,"2,3-Dihydro-5-methylfuran-2-one",carbohydrate,,
34,Win003_C08,367.87,0.000954902,-714,unk,unk,,
35,Win004_C01,385.52,0.000535691,-1844,unk,unk,,
36,Win004_C02,387.45,0.000861678,-1682,unk,unk,,
37,Win004_C03,390.98,0.005178004,-174,unk,unk,,
38,Win004_C04,404.13,0.004043974,-1230,5-Methylfurfural,carbohydrate,,
39,Win004_C05,410.23,0.000661416,-714,n-FA,n-FA,,
40,Win004_C06,414.08,0.004850423,-333,Phenol,Phenol,,
41,Win004_C07,418.25,0.00677288,-857,unk,unk,,
42,Win004_C08,424.35,0.010942371,103," 4-hydroxy-5,6-dihydro(2H)-pyran-2-one",carbohydrate,,
43,Win004_C09,438.79,0.001206378,-1502,unk,unk,,
44,Win004_C10,442.64,0.000359707,-1774,unk,unk,,
45,Win005_C01,449.38,0.000868217,-103,"1,2-Cyclopentanedione, 3-methyl-",carbohydrate,,
46,Win005_C02,453.88,0.000416162,153,"2-Cyclopenten-1-one, 2-hydroxy-3-methyl-",carbohydrate,,
47,Win005_C03,458.05,0.000821371,-427,unk,unk,,
48,Win005_C04,461.9,0.000757799,-374,Indene,aromatic,,
49,Win005_C05,464.79,0.003192383,333,Dianhydrorhamnose,carbohydrate,,
50,Win005_C06,468,0.002367639,-200,unk,unk,,
51,Win005_C07,473.45,0.000319348,-205,unk,unk,,
52,Win005_C08,475.7,0.001182435,-185,"Phenol, 3-methyl-",Phenol,,
53,Win006_C01,486.29,0.001241134,-714,Acetophenone,aromatic,,
54,Win006_C02,493.99,0.003717466,-890,n-FA,n-FA,,
55,Win006_C03,497.2,0.002593219,290,"Phenol, 4-methyl-",Phenol,,
56,Win006_C04,499.77,0.007956355,-857,unk,unk,,
57,Win006_C05,500.09,0.023878739,155,Guaiacol,g-lignin,,
58,Win006_C06,520.95,0.001661472,-937,"Benzofuran, 2-methyl-",carbohydrate,,
59,Win006_C07,528.01,0.001903021,-141,Levoglucosenone,carbohydrate,,
60,Win006_C08,536.67,0.000247739,-1323,1.3-hydroxy-2-methyl-(4H)-Pyran-4-on,carbohydrate,,
61,Win007_C01,545.02,0.000167092,-1374,unk,unk,,
62,Win007_C02,549.19,0.000310468,-2178,unk,unk,,
63,Win007_C03,554.97,0.000384515,-1682,Benzyl nitrile,N_comp,,
64,Win007_C04,557.21,0.000150401,-871,unk,unk,,
65,Win007_C05,558.5,0.000834441,-159,"Phenol, 2,4-dimethyl-",Phenol,,
66,Win007_C06,561.06,0.001404648,-1774,"Phenol, 2,5-dimethyl-",Phenol,,
67,Win007_C07,565.24,0.000209058,-1999,unk,unk,,
68,Win008_C01,571.33,0.003178742,-1116,unk,unk,,
69,Win008_C02,577.11,0.00551064,-1502,unk,unk,,
70,Win008_C03,580.64,0.007284768,-1647,unk,unk,,
71,Win008_C04,589.63,0.023219227,582,p-Methylguaiacol,g-lignin,,
72,Win008_C05,591.87,0.01787707,-830,unk,unk,,
73,Win008_C06,597.97,0.012065725,-589,unk,unk,,
74,Win008_C07,607.6,0.012149503,-1230,unk,unk,,
75,Win008_C08,619.15,0.00755176,-195,"1,4:3,6-Dianhydro-α-d-glucopyranose",carbohydrate,,
76,Win008_C09,627.17,0.008388087,-585,4-vinyl-phenol,Phenol,,
77,Win008_C10,631.99,0.00331264,-585,unk,unk,,
78,Win008_C11,639.05,0.00215853,-1558,unk,unk,,
79,Win008_C12,642.58,0.000616639,-973,unk,unk,,
80,Win008_C13,644.18,0.001567795,-1558,unk,unk,,
81,Win008_C14,648.03,0.00147501,-1774,unk,unk,,
82,Win008_C15,653.49,0.004247195,-1103,n-FA,n-FA,,
83,Win008_C16,660.87,0.004666651,152,4-Ethylguaiacol,g-lignin,,
84,Win008_C17,665.36,0.001244362,-762,n-alkene,n-alkene,,
85,Win009_C01,671.78,0.000825624,-897,n-alkane,n-alkane,,
86,Win009_C02,674.35,0.009992075,-176,Anhydropentose,carbohydrate,,
87,Win009_C03,687.51,0.003622065,-1051,unk,unk,,
88,Win009_C04,692.32,0.029484653,901,4-Vinylguaiacol,g-lignin,,
89,Win009_C05,696.81,0.003966088,-216,unk,unk,,
90,Win009_C06,706.12,0.004759961,-1323,unk,unk,,
91,Win009_C07,709.65,0.005021156,-1051,unk,unk,,
92,Win009_C08,715.11,0.004377221,-1323,unk,unk,,
93,Win009_C09,723.45,0.003612862,-589,unk,unk,,
94,Win009_C10,723.77,0.001394386,144,Eugenol,g-lignin,,
95,Win009_C11,724.41,0.002260967,-108,unk,unk,,
96,Win009_C12,726.66,0.003315266,-2343,unk,unk,,
97,Win009_C13,730.19,0.000934986,-1008,unk,unk,,
98,Win009_C14,730.83,0.001471574,-639,unk,unk,,
99,Win009_C15,732.75,0.002088053,-1558,unk,unk,,
100,Win009_C16,738.53,0.002111115,-1323,unk,unk,,
101,Win009_C17,744.95,0.001158491,-1187,n-alkene,n-alkene,,
102,Win009_C18,748.48,0.000406003,-223,Biphenyl,aromatic,,
103,Win009_C19,750.41,0.00042817,-1187,n-alkane,n-alkane,,
104,Win010_C01,758.43,0.000644867,-420,"1H-Indole, 2-methyl-",N_comp,,
105,Win010_C02,761.64,0.002245805,-746,unk,unk,,
106,Win010_C03,764.85,0.006514907,-559,unk,unk,,
107,Win010_C04,769.66,0.017233265,-139,Vanillin,g-lignin,,
108,Win010_C05,794.37,0.003361257,-1647,unk,unk,,
109,Win010_C06,798.54,0.018415201,400,trans-Isoeugenol,g-lignin,,
110,Win010_C07,802.72,0.003471642,-1682,unk,unk,,
111,Win010_C08,806.89,0.002902556,-1428,unk,unk,,
112,Win010_C09,811.06,0.005613095,-1844,unk,unk,,
113,Win010_C10,817.48,0.005556426,-1502,unk,unk,,
114,Win010_C11,820.04,0.003267002,-1562,unk,unk,,
115,Win010_C12,824.86,0.006970047,-1323,unk,unk,,
116,Win010_C13,827.75,0.005049338,-1618,Allene-guaiacol,g-lignin,,
117,Win010_C14,832.56,0.008886911,150,Apocynin,g-lignin,,
118,Win010_C15,836.09,0.002589803,-330,unk,unk,,
119,Win011_C01,845.72,0.002107833,-133,unk,unk,,
120,Win011_C02,847.32,0.011694061,-166,unk,unk,,
121,Win011_C03,850.21,0.034856317,-168,unk,unk,,
122,Win011_C04,855.35,0.114488236,139,"β-D-Glucopyranose, 1,6-anhydro-",carbohydrate,,
123,Win011_C05,860.8,0.041086901,-207,unk,unk,,
124,Win011_C06,869.79,0.016320624,-136,unk,unk,,
125,Win011_C07,874.6,0.013107628,-399,unk,unk,,
126,Win011_C08,879.09,0.003610279,-282,unk,unk,,
127,Win011_C09,881.02,0.003095975,-1647,unk,unk,,
128,Win011_C10,883.27,0.005798988,-671,unk,unk,,
129,Win011_C11,891.61,0.007765862,-345,Vanillic acid,g-lignin,,
130,Win011_C12,895.78,0.006219832,-714,unk,unk,,
131,Win011_C13,900.6,0.005236605,-1008,Propioguaiacone,g-lignin,,
132,Win011_C14,902.52,0.003778043,-714,unk,unk,,
133,Win011_C15,906.69,0.004566228,-788,unk,unk,,
134,Win012_C01,932.37,0.002195748,-1187,unk,unk,,
135,Win012_C02,935.25,0.004665834,-1187,"1,6-Anhydro-alpha-D-galactofuranose",carbohydrate,,
136,Win012_C03,940.07,0.003033936,-779,unk,unk,,
137,Win012_C04,943.28,0.002089672,-1424,unk,unk,,
