id,Window,RT_s,Ave_Area_Prop,lnLib,Comp,Group,Syn,Candidate
1,Win001_C01,114.36,0,716,Carbon dioxide,co2,,
2,Win001_C02,117.89,0.003469438,-176,Salfur dioxide,sulfur_comp,,
3,Win001_C03,121.1,0.00526998,-1230,unk,unk,,
4,Win001_C04,127.84,0.002072657,-144,Furan,carbohydrate,,
5,Win001_C05,129.44,0.016652989,-441,Propanal-2-one,Carbohydrate,,
6,Win001_C06,145.81,0.007125542,-814,unk,unk,,
7,Win001_C07,148.7,0.007264673,-209,2-Methylfuran,carbohydrate,,
8,Win001_C08,150.62,0.020515216,-216,Acetic acid,carbohydrate,,
9,Win001_C09,169.56,0.009061273,-1647,unk,unk,,
10,Win001_C10,188.17,0.003782908,-830,unk,unk,,
11,Win002_C01,225.4,0.006398467,-139,Toluene,aromatic,,
12,Win002_C02,246.58,0.004059992,-1449,unk,unk,,
13,Win002_C03,253.32,0.003044302,293,(2H)-Furan3-one,carbohydrate,,
14,Win002_C04,264.23,0.000854691,-1014,unk,unk,,
15,Win002_C05,268.72,0.000401821,-589,unk,unk,,
16,Win002_C06,269.36,0.000311895,-1424,unk,unk,,
17,Win003_C01,282.52,0.007462993,123,3-Furaldehyde,carbohydrate,,
18,Win003_C02,289.9,0.002842667,-664,2-Furaldehyde,carbohydrate,,
19,Win003_C03,302.42,0.003989451,-714,p-Xylene,aromatic,,
20,Win003_C04,322.64,0.004990642,-1230,Styrene,aromatic,,
21,Win003_C05,340.29,0.0007604,-483,"2-Cyclopenten-1-one, 2-methyl-",carbohydrate,,
22,Win004_C01,359.86,0.002391368,108,"2,3-Dihydro-5-methylfuran-2-one",carbohydrate,,
23,Win004_C02,371.09,0.000387052,-1374,unk,unk,,
24,Win004_C03,375.91,0.000242224,-1682,"Benzene, propyl-",aromatic,,
25,Win005_C01,384.89,0.000930995,-1709,unk,unk,,
26,Win005_C02,387.46,0.000638304,-1176,unk,unk,,
27,Win005_C03,390.67,0.005455026,-146,unk,unk,,
28,Win005_C04,397.09,0.003157898,-212,"2-Furaldehyde, 5-methyl-",carbohydrate,,
29,Win005_C05,405.43,0.003629614,-1008,unk,unk,,
30,Win005_C06,413.14,0.003076099,-342,Phenol,Phenol,,
31,Win005_C07,417.31,0.005553441,-367,unk,unk,,
32,Win005_C08,424.05,0.008135374,144,"4-hydroxy-5,6-dihydro(2H)-pyran-2-one",carbohydrate,,
