ID,Window,RT_s,Ave_Area_Prop,lnLib,Comp,Group,Syn,Candidate
1,Win001_C01,114.04,0,716,Carbon dioxide,co2,,
2,Win001_C02,117.25,0.003162097,108,Sulfur dioxide,sulfur_comp,,
3,Win001_C03,119.17,0.002282582,-333,unk,unk,,
4,Win001_C04,121.1,0.003888748,-1502,unk,unk,,
5,Win001_C05,126.55,0.001560295,-1230,unk,unk,,
6,Win001_C06,128.16,0.004271931,-306,unk,unk,,
7,Win001_C07,128.16,0.004584337,-433,unk,unk,,
8,Win001_C08,129.12,0.01750924,-148,"2-Propanone, 1-hydroxy-",carbonhydrate,,
9,Win001_C09,134.57,0.004428867,-585,unk,unk,,
10,Win001_C10,138.75,0.003360097,-830,unk,unk,,
11,Win001_C11,143.24,0.003510793,-1008,unk,unk,,
12,Win001_C12,146.45,0.005094508,-905,unk,unk,,
13,Win001_C13,148.37,0.011073245,-566, 2-Methylfuran,carbonhydrate,,
14,Win001_C14,149.66,0.019869259,110,Acetic acid,carbonhydrate,,
15,Win001_C15,160.25,0.006465046,-544,unk,unk,,
16,Win001_C16,169.23,0.006234785,-1051,unk,unk,,
17,Win001_C17,175.65,0.005750577,-496,unk,unk,,
18,Win001_C18,184.32,0.002515238,-1101,unk,unk,,
19,Win001_C19,187.53,0.003328635,-1449,unk,unk,,
20,Win001_C20,198.12,0.001753983,-1558,unk,unk,,
21,Win001_C21,207.42,0.000979639,-1709,unk,unk,,
22,Win002_C01,220.9,0.001433279,-401,Pyrrole,N_comp,,Pyridine
23,Win002_C02,225.07,0.004398549,-186,Toluene,aromatic,,
24,Win002_C03,232.78,0.001359472,-814,unk,unk,,
25,Win002_C04,236.31,0.002442631,-1051,unk,unk,,
26,Win002_C05,247.86,0.004367875,-1647,unk,unk,,
27,Win002_C06,255.24,0.004144437,180,(2H)-Furan-3-one,carbonhydrate,,
28,Win002_C07,264.55,0.000935842,-1014,3-Furaldehyde,carbonhydrate,,
