Layer,Site,Plot,ID,fileid,Sample_ID
Humus,Aheden,12,Ah12,201,Ah12
Humus,Aheden,8,Ah8,202,Ah8
Humus,Aheden,5,Ah5,203,Ah5
Humus,Aheden,18,Ah18,204,Ah18
Humus,Aheden,11,Ah11,205,Ah11
Humus,Aheden,16,Ah16,206,Ah16
Humus,Aheden,19,Ah19,207,Ah19
Humus,Aheden,4,Ah4,208,Ah4
Humus,Aheden,6,Ah6,209,Ah6
Humus,Aheden,25,Ah25,210,Ah25
Humus,Aheden,24,Ah24,211,Ah24
Humus,Aheden,20,Ah20,212,Ah20
Humus,Aheden,30,Ah30,213,Ah30
Humus,Aheden,21,Ah21,214,Ah21
Humus,Aheden,2,Ah2,215,Ah2
Humus,Aheden,3,Ah3,216,Ah3
Humus,Aheden,15,Ah15,217,Ah15
Humus,Aheden,23,Ah23,218,Ah23
Humus,Aheden,13,Ah13,219,Ah13
Humus,Aheden,28,Ah28,220,Ah28
Humus,Aheden,26,Ah26,221,Ah26
Humus,Aheden,7,Ah7,222,Ah7
Humus,Aheden,9,Ah9,223,Ah9
Humus,Aheden,1,Ah1,224,Ah1
Humus,Aheden,29,Ah29,225,Ah29
Humus,Aheden,10,Ah10,226,Ah10
Humus,Aheden,14,Ah14,227,Ah14
Humus,Aheden,17,Ah17,228,Ah17
Humus,Aheden,22,Ah22,229,Ah22
Humus,Aheden,27,Ah27,230,Ah27
Humus,Svartberget,6K,Sv6K,231,S6K
Humus,Svartberget,3DN2,Sv3DN2,232,S3N2
Humus,Svartberget,2K,Sv2K,233,S2K
Humus,Svartberget,4K,Sv4K,234,S4K
Humus,Svartberget,1DN1,Sv1DN1,235,S1N1
Humus,Svartberget,2DN2,Sv2DN2,236,S2N2
Humus,Svartberget,3K,Sv3K,237,S3K
Humus,Svartberget,6DN2,Sv6DN2,238,S6N2
Humus,Svartberget,5DN1,Sv5DN1,239,S5N1
Humus,Svartberget,5DN2,Sv5DN2,240,S5N2
Humus,Svartberget,1K,Sv1K,241,S1K
Humus,Svartberget,4DN2,Sv4DN2,242,S4N2
Humus,Svartberget,6DN1,Sv6DN1,243,S6N1
Humus,Svartberget,2DN1,Sv2DN1,244,S2N1
Humus,Svartberget,5K,Sv5K,245,S5K
Humus,Svartberget,1DN2,Sv1DN2,246,S1N2
Humus,Svartberget,4DN1,Sv4DN1,247,S4N1
Humus,Svartberget,3DN1,Sv3DN1,248,S3N1
Humus,Flakaliden,FC10,FlFC10,273,FlFC10
Humus,Flakaliden,FC14,FlFC14,274,FlFC14
