Window,RT_s,RI,X201,X202,X203,X204,X205,X206,X207,X208,X209,X210,X211,X212,X213,X214,X215,X216,X217,X218,X219,X220,X221,X222,X223,X224,X225,X226,X227,X228,X229,X230
Win001_C01,114.03,-99,60983765,58853708,63599805,34824256,44931097,55385167,52491308,42323213,42975441,52493698,48708694,52406823,47981261,57530535,69455114,58503435,59593232,44379752,65454474,40939938,65396534,66691622,59057968,49146797,46736261,57869040,66362799,54647960,66249794,56912928
Win001_C02,117.24,-99,1255146,875784,1134579,762974,814103,838033,770413,812337,1102585,849553,830230,986809,852552,926805,2095238,892790,980941,851412,1078594,728390,1019647,1156016,1021893,872420,1008062,1056921,1300781,917063,1482566,942976
Win001_C03,119.17,-99,451537,497077,437978,209215,378984,313016,349358,345892,279334,445625,332661,309213,413204,465835,372216,563147,485796,406388,352529,252322,442149,462490,452498,388756,367165,377466,497951,501676,437997,400983
Win001_C04,121.09,-99,1837017,1488320,2016185,902074,1126056,1500614,1283361,955538,1143155,1174030,932610,1493605,1154702,1603206,1467246,1349177,1632726,900972,1587974,1337041,1870267,1682015,1606263,1170597,1172678,1335699,1683066,1469522,1782180,1148504
Win001_C05,128.47,-99,2080893,1966050,2287303,1196773,1606559,1622790,1538500,1666552,1622941,1843961,1521210,1737916,1794164,2436027,2484080,2375067,2193978,1812960,2028198,1639410,2292786,2454485,2108953,1811807,1925231,1944663,2668944,2195168,2459077,1931673
Win001_C06,129.12,-99,706895,614125,672101,347888,413699,2340431,1864914,641969,584718,630472,407174,422507,492190,694659,729371,722147,742258,568947,529520,438557,604754,612897,796764,589684,545599,582077,744579,680909,734498,526329
Win001_C07,129.76,-99,2847953,3452277,3191684,2156131,2736956,2767532,2269964,2434261,2712345,3530337,2137721,2168639,2983413,3383826,4376679,3422153,4066670,3201406,2933665,2547533,3050466,3304741,4300123,2975943,3102927,2944515,3614397,4192104,4227894,2856493
Win001_C08,133.29,-99,1744992,1845259,2059383,1230054,1382005,1784577,1967444,1551181,1384038,1183341,1194839,1981153,1731592,2012362,2028724,1633971,2113675,1111062,2193728,1446287,2354587,2254622,1654286,1500141,1548811,1543160,2319233,1249006,2411743,1363024
Win001_C09,147.73,-99,2983964,2920049,2980974,2120512,2417387,2902565,2215424,2426099,2127787,2683425,2284490,2606380,2796804,2879284,3143085,3257905,2938343,2415059,2794593,2505253,2610230,3211561,3097154,2422709,2686146,2631737,3288905,1909438,2969849,2520996
Win001_C10,148.69,-99,1483766,1279762,1554655,694861,925014,1248148,1138499,984966,1039779,1100351,869797,1130241,1103304,1651105,1441625,1494426,1315390,1099194,1215657,1003226,1563653,1651080,1464512,1079189,1136001,1207505,1805297,1419928,1555241,1155401
Win001_C11,152.54,-99,5340924,5731505,6502412,2262058,3102477,4802407,4559097,3287772,4505154,5180740,2384471,3550536,4355117,6770489,5938612,5122916,5953231,5232796,4207430,3384010,7955381,6425044,7230443,4776147,4466002,4210262,7141455,12966587,7161941,4041660
Win001_C12,161.85,-99,836583,892671,776109,459324,571933,754679,691429,605611,477143,725088,585935,896534,688217,859641,725472,777408,976207,551053,833493,665867,708122,864198,657204,726463,722472,729835,972274,656707,873869,696635
Win001_C13,169.55,-99,2099074,1423239,1790205,1010651,1449009,1469128,1327465,1209457,1095156,1327867,1142031,1473161,1210194,1332196,2166743,1770484,1753603,961435,1405265,1306133,2155805,1835419,1259988,1079520,1059557,1494045,1686495,1560904,1906711,1668345
Win001_C14,176.61,-99,777370,1073539,993586,500638,646646,877652,743287,448606,686963,914590,518903,556029,684016,1270805,1035774,1078036,1307790,1011024,694504,649996,1025672,959080,1363002,745778,869656,879403,1025221,1371265,1186396,961360
