Window,RT_s,RI,X273,X273_1,X274,X275,X276,X277,X278,X279,X280
Win001_C01,114.35,-99,21158968,52412254,47995958,32466907,53935720,51197553,37967844,54794705,53396860
Win001_C02,117.56,-99,412786,994350,897943,623782,1226534,1232900,699019,850054,1056490
Win001_C03,121.41,-99,610399,1485798,989550,842954,1609990,1615686,1095044,1626632,1525628
Win001_C04,128.15,-99,206096,308504,348137,254838,315753,314299,274220,258428,258285
Win001_C05,130.08,-99,1761864,6563287,3969116,3959674,5316228,5659522,4230477,5851210,5853946
Win001_C06,145.8,-99,95634,2310778,2045441,1724884,1891978,1865393,1769034,1814070,1709803
Win001_C07,149.01,-99,0,7768317,3696778,2841995,8649132,8732767,4526261,8054318,8595931
Win002_C01,226.99,-99,605884,1830070,1242323,1023165,2090462,2067741,1270133,2077604,1856706
Win002_C02,244,-99,0,968965,154492,100562,1127106,1104182,182760,1136777,1232388
Win002_C03,258.44,-99,160,1054609,2235,5437,754479,792303,1397,590406,771571
Win002_C04,270.96,-99,6641,242255,63862,475,232402,244047,39535,241470,237546
Win002_C05,275.13,-99,3558,113351,11479,2116,66069,92310,16862,45145,96662
Win003_C01,284.12,-99,12395,298611,263250,4964,487148,536482,339672,601183,575865
Win003_C02,291.18,-99,737,2930005,1399753,702911,1933322,2142695,1013260,1463859,2173262
Win003_C03,309.15,-99,2060,552956,51190,15799,703288,662464,38773,652766,759061
Win003_C04,323.59,-99,14123,1293472,764460,639032,1189137,1227012,697971,1210441,1106089
Win003_C05,348.3,-99,2778,295444,1326,2046,227964,235741,1439,171874,235644
Win004_C01,391.62,-99,1217,2038291,34002,1148784,2344622,2160910,1104638,1640233,1640763
Win004_C02,410.88,-99,0,2572857,1763718,85549,2552714,2310034,1407239,2705575,2292975
Win004_C03,417.62,-99,0,3025563,1408670,1024593,2962336,3003265,1287066,2477207,2713523
Win005_C01,497.21,-99,51244,1800316,309262,255082,1474494,1408246,277118,1432292,1221967
Win005_C02,500.1,-99,6813,4267427,4837017,15458,6043390,6854326,3669515,5794464,7094527
Win005_C03,528.98,-99,225344,1202516,721821,572252,742987,825458,687466,562408,293405
Win006_C01,574.23,-99,117424,1870803,1293138,239526,1412000,1311537,1185409,1311701,1262341
Win006_C02,581.61,-99,415,793413,1349456,133753,2612881,2582664,190013,2827275,2091906
Win006_C03,588.67,-99,18867,1390554,3008502,342,3196195,4126109,1598653,2906606,4120302
Win006_C04,591.24,-99,31793,5069767,3776996,4377062,4887388,5058802,4524505,4523223,4670880
Win006_C05,598.3,-99,172119,1965236,1459249,409115,2929594,2747896,1093519,2916588,2496779
Win006_C06,606.64,-99,26669,3034386,2122224,2959,3857882,3369641,1297382,3399351,2809313
Win006_C07,619.48,-99,632184,2875137,2026762,1471571,1566930,1596359,1423503,1156011,1516287
Win006_C08,625.9,-99,64441,2100287,847121,70373,3479233,3148760,66246,3502120,4084349
Win006_C09,639.05,-99,35217,942878,690303,9787,1235258,1320743,418769,1457422,1093078
Win006_C10,661.84,-99,937,634624,750608,265404,889002,1065987,568642,878247,1056359
Win007_C01,674.67,-99,956771,869270,1722588,2237081,3044664,2428409,1944848,2870622,2324943
Win007_C02,692,-99,1961,3978425,4463015,2248962,6396042,7524891,1047,6259770,7600351
Win007_C03,709.01,-99,426,5176663,3067888,572334,3367887,3747295,2066797,1920218,2628428
Win007_C04,723.77,-99,2915,1023993,856499,137639,1418102,1647905,762428,1356765,1705974
Win007_C05,730.84,-99,869,1172994,1054679,499253,1450133,1541308,742233,1306952,1485932
Win007_C06,750.41,-99,33320,369640,266759,133152,261047,300673,175041,240087,277555
Win008_C01,769.35,-99,93885,2064209,3991814,188507,2991024,4053017,2650331,2995519,3899105
Win008_C02,794.38,-99,5266,639821,340121,191813,794032,891542,326971,626236,745064
Win008_C03,799.51,-99,463599,2208282,2303101,1015377,3456928,4134369,1834385,3612375,4224264
Win008_C04,809.14,-99,1067266,3422495,2390775,2119915,3506836,3316571,2062880,2176140,2788557
Win008_C05,818.77,-99,1920567,3262263,3251536,3012801,1897748,2788851,2641909,2454342,1700156
Win008_C06,824.86,-99,236555,997448,343599,419346,907690,906471,773099,748831,1009283
Win008_C07,827.75,-99,135773,591833,1054752,194095,876482,979130,887617,1075838,1027041
Win008_C08,832.89,-99,69,973074,1484578,302517,1415136,2104453,938518,1193234,2106707
Win008_C09,835.45,-99,115004,210396,98268,156740,361195,382226,172292,283522,327360
Win009_C01,854.39,-99,22209203,45185078,59906488,43390772,28740240,27779094,37706977,22317006,25655312
Win009_C02,860.49,-99,56283,7458435,10061535,62961,11385760,13771481,7281114,10809423,13960587
Win009_C03,874.28,-99,1611112,8728626,4417661,3393509,5496847,5845506,4301628,5401508,5927624
Win009_C04,894.5,-99,9846,1465600,2524319,68784,1971542,2568053,1209057,1217474,2615637
Win009_C05,902.21,-99,1861,1198359,2082937,805315,1985250,2646942,1461983,1436382,2790126
Win010_C01,934.94,-99,16997,473060,151120,223969,1262942,1542650,295959,1831032,1390441
Win010_C02,941.04,-99,183597,2561945,2065705,840465,734100,571898,844131,104543,517575
Win010_C03,946.49,-99,26936,240113,393798,5681,374712,635635,249824,392612,672061
Win010_C04,949.38,-99,6984,422483,562638,102939,817239,808782,450780,796175,912368
Win010_C05,954.84,-99,85061,1160938,470764,4145,567311,602932,87884,516197,406917
Win010_C06,958.69,-99,70119,514615,596948,160223,624358,627038,504590,525263,623884
Win010_C07,963.18,-99,105034,450669,236714,314209,256063,273969,306956,335574,278940
Win010_C08,967.99,-99,17112,210655,304260,15304,269368,498704,243644,311615,344767
Win010_C09,974.41,-99,75471,300972,213242,89891,288905,381327,146935,119509,189225
Win010_C10,980.83,-99,116136,344641,278669,271905,411034,302387,228733,201401,306824
Win011_C01,992.38,-99,12608,9647,135288,223108,47468,6127,205834,110696,26844
Win011_C02,998.16,-99,4454,214876,301444,131565,261218,374970,120975,205115,184406
Win011_C03,1002.33,-99,104172,753413,275092,319076,609608,685263,532276,678610,717599
Win011_C04,1005.54,-99,230885,873547,403841,493621,989612,1153790,838223,1235580,1126761
Win011_C05,1012.6,-99,3483,172744,869954,13952,351177,437143,65541,466435,398389
Win011_C06,1019.02,-99,7038,479066,295867,34867,544446,983936,20393,858624,563929
Win011_C07,1023.19,-99,179069,656336,452623,386429,363223,289252,454735,291852,330830
Win011_C08,1027.04,-99,70882,322762,191725,173583,176293,149503,147217,160238,183465
Win011_C09,1029.61,-99,25092,164570,296844,121596,393640,371959,218112,358780,357839
Win011_C10,1042.13,-99,13277,32276,311050,26353,32816,19279,30225,80861,21677
Win011_C11,1045.66,-99,19658,62352,55410,21502,118987,156827,48280,60150,111571
Win011_C12,1049.83,-99,1521,68294,25047,37108,262873,256450,38849,246226,362362
Win011_C13,1054.64,-99,2478,103087,67760,58357,108627,140335,57733,79428,142104
Win011_C14,1057.21,-99,19,168489,88051,47166,268348,202873,84803,191813,230098
Win012_C01,1067.16,-99,7014,204327,93228,120109,147329,135988,133850,140387,117756
Win012_C02,1069.4,-99,51932,5518,90732,49688,64436,45462,65099,95616,30621
Win012_C03,1074.86,-99,8050,75324,40724,21490,123272,189819,33688,109702,103155
Win012_C04,1075.5,-99,4216,45128,4077,12260,160675,110361,13054,105409,85272
Win012_C05,1078.07,-99,22412,61330,87059,34534,68623,57048,55928,94096,156417
Win012_C06,1083.2,-99,807,80974,43247,8320,121447,145240,26447,146402,113194
Win012_C07,1084.49,-99,137862,333122,266103,295028,145085,82190,192996,65836,89950
Win012_C08,1088.02,-99,61737,260845,152146,126555,116779,79817,124242,86778,130024
Win012_C09,1093.15,-99,51518,135371,108826,74293,117261,142747,134162,142081,142838
Win013_C01,1114.33,-99,104532,675031,188535,542791,607828,368473,822254,774555,644002
Win013_C02,1119.47,-99,100230,951668,617585,462424,1373099,1675134,290170,1173287,1223306
Win013_C03,1126.85,-99,894192,2747015,1440280,1392824,2180647,2252109,2263006,2155197,2351687
Win013_C04,1135.19,-99,45459,635511,358402,283136,898226,849244,405374,794736,869129
Win013_C05,1142.89,-99,183332,737134,575070,525023,554419,193880,377360,140916,266271
Win013_C06,1146.42,-99,112917,363233,249641,254949,274290,171832,200981,218788,289114
Win013_C07,1157.66,-99,945,31067,151327,110754,148625,165314,141395,204400,157948
Win014_C01,1168.25,-99,17275,291427,100094,95731,82159,85940,72342,191019,50050
Win014_C02,1188.46,-99,26772,333141,112403,42587,138568,122386,123368,140855,176556
Win014_C03,1199.05,-99,163040,527283,428101,333050,355808,255904,292256,254966,274602
Win014_C04,1201.94,-99,102344,312737,190091,208846,167052,126821,169492,121215,166207
Win015_C01,1225.69,-99,6941,1732940,1049440,533638,586953,556168,734734,805465,481898
Win015_C02,1231.15,-99,6494,291224,31612,10135,32041,66365,36661,18402,85526
Win015_C03,1232.43,-99,187174,34227,219614,165443,120735,81003,105258,158281,34822
Win015_C04,1235.64,-99,38891,449385,69477,53001,152119,34281,40439,110720,76099
Win015_C05,1238.53,-99,196405,807959,441948,381440,484403,481546,588110,419646,385711
Win015_C06,1248.8,-99,4737,297414,130054,28387,81745,93027,91972,123313,68086
Win015_C07,1252.65,-99,158143,540343,363507,308702,411248,280790,294141,156780,334157
Win015_C08,1255.54,-99,126977,316128,229061,173058,206478,150234,158914,147501,223373
Win015_C09,1264.2,-99,1826,179654,18533,3200,31269,21322,14503,13607,12312
Win015_C10,1269.66,-99,10229,94079,69085,16887,54846,75645,20428,57437,66359
Win016_C01,1278.96,-99,26281,134658,47016,36851,97573,71746,65668,101818,78257
Win016_C02,1285.06,-99,1156,41695,120394,40070,130138,160573,104407,98367,185242
Win016_C03,1291.48,-99,9642,179578,60649,66851,157224,53569,51611,150643,112488
Win016_C04,1299.82,-99,744,73146,143653,2037,97487,84830,35327,87030,76295
Win016_C05,1306.56,-99,184563,711633,407449,413877,494394,304686,335084,227050,325574
Win016_C06,1312.66,-99,27252,85544,74531,53812,40312,16748,66636,23344,46642
Win017_C01,1318.76,-99,26,80855,113333,46352,151871,176990,75987,164921,148298
Win017_C02,1326.78,-99,2044,47792,65115,12142,81794,117709,48618,58697,107344
Win017_C03,1331.59,-99,198486,594777,351215,289314,485870,458541,457410,484394,560571
Win017_C04,1334.8,-99,151898,350037,192568,140916,500890,540473,380592,585113,654686
Win017_C05,1341.22,-99,266096,1206351,825334,507594,678275,490618,558512,648888,412647
Win017_C06,1355.98,-99,189903,657318,355384,350273,397297,208376,318752,177478,308215
Win017_C07,1369.78,-99,8150,74069,111270,10449,191377,204287,66810,124908,186007
Win017_C08,1386.47,-99,79255,224503,120355,46876,95063,47739,93803,70081,35704
Win018_C01,1398.67,-99,6899,5752,48697,2014,44708,35162,55847,17077,26800
Win018_C02,1403.48,-99,142980,397274,237324,194669,228876,105670,158005,174755,136058
Win018_C03,1405.73,-99,23943,215057,102851,51037,207066,82414,83167,66838,142551
Win018_C04,1409.9,-99,1217,19514,59654,13283,5145,64443,9998,11512,19728
Win018_C05,1417.28,-99,1762,21480,31939,18301,41665,44568,2412,22315,45892
Win018_C06,1421.45,-99,197941,84910,201217,175181,185392,169396,162428,161095,4260
Win018_C07,1426.91,-99,4231,7000,41956,6492,7173,5071,24127,30104,22685
Win018_C08,1427.23,-99,50268,168549,63813,147613,73314,34150,83542,33221,77630
Win018_C09,1430.44,-99,33297,1980,22971,74010,27909,20186,16270,29950,141
Win018_C10,1435.89,-99,131187,1804,155492,70061,88663,41698,68111,86380,16420
Win018_C11,1436.86,-99,92924,318470,191561,156277,206696,80934,115249,111574,57001
Win018_C12,1439.1,-99,14091,51691,87087,29387,23605,119408,43332,67491,158330
Win018_C13,1447.12,-99,7255,105080,84931,94197,258280,183012,152086,186045,258603
Win019_C01,1466.7,-99,77257,21084,117506,57271,62399,54050,100053,65944,18906
Win019_C02,1490.13,-99,99,86031,310002,79,744865,1177361,129502,912364,1065610
Win019_C03,1493.02,-99,230214,961312,440352,380826,256741,129719,393042,86346,198651
Win020_C01,1534.73,-99,69562,536090,165182,164793,179223,85484,219738,48314,155177
Win020_C02,1536.02,-99,528703,194368,575884,454790,370772,355024,299502,335666,11679
Win020_C03,1548.86,-99,189335,111104,82141,19098,50595,86915,53290,53602,81919
Win021_C01,1562.33,-99,16889,46174,26567,6598,43161,68933,45568,21462,42270
Win021_C02,1574.85,-99,2131,5618,18254,1582,35401,94915,13721,48207,92965
Win021_C03,1576.78,-99,132134,628130,313066,276866,229469,112725,290348,70857,186016
Win021_C04,1585.76,-99,108588,376424,322452,236041,248835,94379,223462,29983,133173
Win021_C05,1590.57,-99,711,13097,17958,4894,21670,28273,14144,13714,11661
Win021_C06,1595.39,-99,14410,33351,142541,30946,68238,124844,82723,86322,129076
Win021_C07,1599.88,-99,19404,102496,44109,27251,53050,35144,27037,15261,70589
Win022_C01,1609.19,-99,5544,9668,32154,17616,54152,53433,14767,43637,71483
Win022_C02,1611.75,-99,3830,25590,17238,11755,28914,20633,20483,26985,16085
Win022_C03,1615.93,-99,18322,169530,62951,57480,69075,40182,63018,5663,35867
Win022_C04,1620.1,-99,1095,29241,18537,5974,10376,8483,11336,4894,13197
Win022_C05,1622.99,-99,6860,21457,6396,15459,22844,29613,9251,29828,13494
Win022_C06,1626.2,-99,2693,39002,21392,7891,11631,18017,17183,3151,20822
Win022_C07,1628.76,-99,4821,22856,32432,18350,20007,12986,23292,16772,29015
Win022_C08,1633.58,-99,136079,61653,53858,25501,6049,4056,110,1465,5274
Win022_C09,1639.03,-99,16284,18804,31055,10432,28197,24806,49666,22281,15728
Win022_C10,1641.6,-99,826,34610,5653,33,58378,15989,27523,9732,19350
Win022_C11,1643.2,-99,27296,45749,79257,97388,89331,106733,46670,72219,107437
Win022_C12,1648.02,-99,8341,54161,21126,18103,41787,55335,20272,37544,59866
Win023_C01,1653.8,-99,24845,64097,91217,78314,151567,72371,107509,83322,112423
Win023_C02,1654.12,-99,19146,279,78939,20529,27984,144490,10780,65445,42143
Win023_C03,1654.44,-99,8452,223055,35742,52641,85197,69853,40283,108389,98114
Win023_C04,1655.08,-99,98897,391664,227074,229760,204085,113959,251232,62731,150024
Win023_C05,1661.18,-99,101399,315889,83876,167024,229463,223242,227997,225512,120346
Win023_C06,1661.82,-99,7209,5917,10601,8684,18215,17080,4117,38243,70519
Win023_C07,1662.46,-99,54658,370421,337524,158445,312798,367930,151686,365602,465042
Win023_C08,1663.42,-99,2126,477,34126,44291,51179,98362,7498,33767,58074
Win023_C09,1664.71,-99,56402,330698,128009,113982,177130,56871,133962,37757,74253
Win023_C10,1668.88,-99,8342,72364,101767,36407,9424,8566,12375,21073,31044
Win023_C11,1672.09,-99,16642,79831,53157,49694,96902,109753,50834,58544,108308
Win024_C01,1706.75,-99,975,9008,7478,7967,8955,1493,6163,1102,6565
Win024_C02,1716.05,-99,330,12815,19691,6403,1765,3017,8260,2938,3029
Win024_C03,1732.74,-99,2777,16174,3328,8868,4938,1624,11471,6110,6332
Win025_C01,1745.26,-99,18613,165522,80631,69191,70071,33679,71581,35320,44971
Win025_C02,1759.38,-99,6349,59490,62783,25432,38501,53907,32278,85884,32870
Win025_C03,1763.87,-99,19814,9379,1458,23831,28355,17403,21820,17483,36782
Win025_C04,1780.88,-99,867,15016,1245,6446,12234,31686,9445,10342,21550
Win026_C01,1792.43,-99,7402,309705,162500,336137,32419,45967,61502,391704,51048
Win026_C02,1801.1,-99,94095,241777,137243,94582,117534,111767,117243,109220,142868
Win026_C03,1821.64,-99,100033,170489,93033,103021,263460,382657,103589,253407,278244
Win026_C04,1838.32,-99,3544,81181,13622,84825,14110,51360,1495,133938,27066
