Window,RT_s,X001,X002,X003,X004,X005,X006,X007,X008,X009,X010,X011,X012,X013,X014,X015,X016,X017,X018,X019,X020,X021,X022,X023,X024,X025,X026,X027,X044,X045,X046
Win001_C01,114.36,62296229,58272181,56943868,59589824,64314786,44666392,74268639,58155611,69417371,56689925,56403756,61082138,73591126,45942634,56009834,51697224,51862386,39003228,51616326,51721484,47614590,57209556,61557212,56663754,47879772,54192916,47136726,43684025,53427573,43041055
Win001_C02,117.89,2024666,1167149,1149010,1299630,1376986,846271,1421264,1217020,1206382,1587281,1186176,1375007,1846280,1028906,1214021,854437,1147666,663967,934844,992734,992275,1276486,1044477,1373160,1005229,981309,900908,473729,425943,325370
Win001_C03,121.1,1747193,1785706,1824197,1665083,2098884,1404643,2089618,1777016,2073069,1829899,1977147,1811347,2176948,1529360,1888757,1577608,1460954,967883,1220688,1489033,1519667,2002172,1691855,1576633,1596804,1466120,1330336,1577729,1803446,1680585
Win001_C04,127.84,906452,454978,740906,447338,777980,520227,1042765,746455,944903,705362,804750,839170,710148,564414,741772,539549,593442,365815,436170,337429,415336,431116,499582,603964,410471,488061,349064,913822,1325254,1259915
Win001_C05,129.44,5798745,7618245,4488742,8553848,6064461,3519853,5078310,5537351,4958143,5463072,4688531,5840916,6811668,3739410,5551573,5079546,4370153,2767520,5840301,8011661,6149416,7551565,6851261,6496184,6972395,4178475,6603251,1944576,2041972,1451039
Win001_C06,145.81,2341998,3727074,1657198,3454589,3303137,1508315,1934037,2540252,1201255,2812103,1785903,3478802,2722778,1270805,2425086,1895693,1571084,762546,2956655,3228249,2779698,3397366,3592783,2853396,2954518,1545217,1753100,781241,1310957,925044
Win001_C07,148.7,2716432,2792596,2385376,2849278,2984972,1632562,2741620,2532476,2683473,2709096,2466609,2959929,3107369,1815558,2624936,2174700,1967893,1041507,1855393,2431588,1961090,2648832,2550503,2729594,2066193,1656824,1841809,1711734,2264693,1903178
Win001_C08,150.62,7226449,9485239,6289281,10459557,9400733,3396668,6488245,6766034,6544410,8132249,6175730,8195750,7390238,3485519,10696145,4420705,3908354,1546132,5174948,10389608,6178506,9191885,6412260,8498071,11518047,4239708,4275640,3252732,4657110,3339202
Win001_C09,169.56,3442149,3380837,2575570,3003969,3188861,2014399,4104726,3123329,3826654,3608449,3004411,3385128,4169757,2270407,3283694,3094421,2892929,1579394,1705149,2552653,2361666,3076578,4392240,2926945,2284721,2901335,2221877,1505681,2648828,2544977
Win001_C10,188.17,1498944,1479785,1152495,1505601,1548299,753097,1248922,1370911,1379581,1504525,1219988,1639859,1681690,929516,1374033,1012707,920206,333537,882354,1418009,1035022,1470431,1285056,1533034,1129977,843343,1027112,889237,1258223,1025289
Win002_C01,225.4,2137754,1801055,2126098,1623886,2263877,2352453,2568101,1951310,2405985,2177234,2770561,2083655,2594708,2038021,2040404,1810361,3155941,1599109,1300310,1355253,1702706,1964449,1887210,1670460,1499274,3479118,2164712,1616539,1742049,1601666
