Window,RT_s,RI,X028,X029,X030,X031,X032,X033,X034,X035,X036,X037,X038,X039,X040,X041,X042,X043,X101,X102
Win001_C01,114.04,-99,65986965,52778922,55566776,59034916,48697795,46095495,53909925,47122532,50981279,56484288,55046584,50982819,60436571,51169562,61944047,68683350,55833458,57207742
Win001_C02,117.25,-99,1047930,713439,578332,836470,703004,807996,600657,516364,497041,1581903,719901,856954,1557193,727238,1119117,757836,777941,710205
Win001_C03,119.17,-99,546411,502693,809884,703166,486658,454706,710780,790773,729196,503620,471095,532751,454184,523414,579388,765764,694583,647846
Win001_C04,121.1,-99,1096372,1008701,946611,1141528,854220,823521,1307096,759329,913874,1044397,919198,1007249,1020187,936538,1110230,1393710,1058127,1240807
Win001_C05,126.55,-99,381408,422089,234222,533261,415707,462643,353434,215153,282957,368765,501469,341881,576281,476273,381614,480353,366367,661717
Win001_C06,128.16,-99,714929,1007737,952837,1835384,902464,1161338,1127344,961475,1067750,971395,1335940,927917,1299331,1219809,870167,1314169,1351529,1391153
Win001_C07,128.16,-99,2152351,1083073,1297276,1379363,1169002,993697,1132451,811937,1219296,1175667,1271679,1029944,1289851,1066468,940060,1226086,1323008,1344234
Win001_C08,129.12,-99,4750662,4203051,6699233,4229702,4157318,3320262,5316327,5392919,6003724,3882874,3457131,3974218,4119531,3315350,5154509,5986705,5595340,4105950
Win001_C09,134.57,-99,914860,981781,1134345,1543050,906271,1029916,1116176,1195594,1161031,1186013,1151177,979006,1373274,1220222,1297008,1153892,1549876,1269063
Win001_C10,138.75,-99,959476,683127,858413,907423,834061,835934,1035090,514049,715764,854110,747507,983268,993124,768203,1775050,960616,648693,981720
Win001_C11,143.24,-99,620347,806067,1668785,1240059,952438,629112,1198895,955336,1415302,320851,889091,586970,738148,548909,549014,1228972,1349529,1077877
Win001_C12,146.45,-99,1059933,1223685,2131902,1701239,1230701,1040208,1617636,1424842,1721683,880298,1177266,981846,1180735,936237,1462482,1708645,1627711,1236155
Win001_C13,148.37,-99,3240880,2608244,2785266,4561560,2593156,2504959,3109089,1944482,2990414,2406307,3276644,2536421,2765161,2915318,1951675,3861298,3387782,3472887
Win001_C14,149.66,-99,5271849,6283375,7432357,8575950,4913397,3294474,6487149,3925043,7789969,2860267,4662735,3008917,3058478,2593266,3663861,9891859,6252783,4976009
Win001_C15,160.25,-99,3067208,1576099,1181240,528194,1491101,1264660,1815300,1527507,1169585,1848661,1619908,1794942,3153314,2380567,2772538,951133,1203343,1546779
Win001_C16,169.23,-99,2267661,1295582,1307065,2062963,1619766,1512484,1503316,1149039,1125746,1720800,2003612,1422708,1805754,1501114,1728129,1913100,2100764,1752216
Win001_C17,175.65,-99,1221549,1670670,2756529,1796488,1392637,924007,2127838,1444046,2265240,774386,1141866,1201575,1139921,1003967,1463820,1914600,1875791,1363185
Win001_C18,184.32,-99,702130,658667,956658,770530,539871,386734,816102,407374,742258,463325,544903,481641,830615,516415,652234,908598,952617,687947
Win001_C19,187.53,-99,950138,780623,850229,1426687,747786,771212,996692,619698,1005442,565983,990913,754757,712260,927632,520066,1063076,1106975,1115122
Win001_C20,198.12,-99,563865,405578,401917,763723,389178,500732,449267,387351,373895,432449,506834,409762,414304,363782,418984,618191,480865,500420
Win001_C21,207.42,-99,259750,309242,272624,297049,206912,167301,391583,190199,281418,200407,236913,214899,228967,220970,222934,399536,279029,301298
Win002_C01,220.9,-99,505853,455072,322038,313362,279893,264802,452703,266823,314253,496268,272078,450995,398253,351749,427809,496083,320694,459944
Win002_C02,225.07,-99,1379326,1083931,977598,1277906,1015007,1046025,1316255,851991,848216,1248319,1375860,1216120,1236754,1209347,1112787,1307148,1056261,1458839
Win002_C03,232.78,-99,335823,340964,803920,539947,211192,90095,701561,278008,617939,16832,165055,125969,196017,40146,315695,904033,524542,288258
Win002_C04,236.31,-99,525094,799981,806139,620054,633467,551742,852077,562387,748091,294849,639411,525793,635667,655260,724051,729449,724494,643673
Win002_C05,247.86,-99,1305956,1637834,1411777,722403,1052625,827652,1294970,1195402,1290397,646446,1286895,1231471,1090806,1066909,1547450,1061929,1058954,1141244
Win002_C06,255.24,-99,1148981,821728,1123529,2011641,779364,964382,1112244,583199,1002677,1163230,1172091,839069,1436840,951788,739615,1405971,1231711,1315401
