Window	RT_s	RI	Annotated	X201	X202	X203	X204	X205	X206	X207	X208	X209	X210	X211	X212	X213	X214	X215	X216	X217	X218	X219	X220	X221	X222	X223	X224	X225	X226	X227	X228	X229	X230	X231	X232	X233	X234	X235	X236	X237	X238	X239	X240	X241	X242	X243	X244	X245	X246	X247	X248	X249	X249_1	X250	X250_1	X251	X252	X252_1	X253	X253_1	X254	X255	X255_1	X256	X257	X258	X259	X260	X261	X262	X262_1	X263	X264	X265	X266	X267	X268	X268_1	X269	X270	X271	X272	X273	X273_1	X274	X275	X276	X277	X278	X279	X280
1	Win001_C01	114.03	-99	63580065	61591250	66294617	36182386	47045324	57876777	54515542	44087155	45028543	55038228	50630241	54520087	50097733	60213938	72790377	61250359	62399838	46479526	68160628	42789320	68473407	69646397	62067453	51307886	48919354	60471586	69292977	57452977	69389732	59440433	59926272	62626892	65353424	62479346	75125046	77111399	62549892	64153124	59941939	73749272	72581603	66182529	48021001	48655927	65988259	57651287	66282508	49517816	9465926	29018102	19714056	15842412	45337308	23178921	41357197	23491428	42304589	44368977	18442201	36237277	44587166	32402082	25255023	43769121	25941545	27975674	15934645	69263138	38480062	35714636	43321640	45287677	54231883	18654321	27452238	41231607	39964192	26413634	47670073	21484992	54288932	49502514	33544541	55814495	52958244	39196122	56985980	55493228
2	Win001_C02	130.08	-99	6665529	7603555	7652797	4837267	5980687	8001919	6420607	5612904	6290883	7702238	5054947	5509388	6408127	7673319	9462255	8021981	8936672	6569021	6831189	5764574	7213241	7561546	9344832	6515880	6967355	6900301	8506014	8926061	9244478	6673994	8160811	9231660	11927466	9519359	9090815	10088822	7335148	10726271	8160708	10003286	13314633	8540109	6138525	5636307	8200887	8000537	10572106	5262541	112648	3371044	311510	328881	3836832	383815	4670249	2412901	3672441	4151680	294370	3894341	5295366	2917951	2678051	3311559	2408982	2712580	67171	8323463	3300770	3961690	4659428	4504838	5522714	320878	3217688	3423454	3205671	3392779	4863810	2819398	9400287	5831077	5580299	7745104	8134173	6052199	8241358	8301622
3	Win002_C01	226.67	-99	2552523	2344843	3451268	1284953	1747624	1969581	1770393	1508712	1662600	2005022	1822216	2183869	1673944	2194081	2098541	2746706	2241338	1281982	2245804	1844982	2681616	2436876	1933346	1639286	1647028	2035782	2423168	1900152	2364127	2775186	1760975	2083535	2151488	1531487	2071511	2346976	1762470	1850336	1618587	2371831	1865872	1967656	1374003	1961036	1678356	1915593	1862992	1391140	53	1045691	672828	0	1355010	6542	1570067	824979	1382814	1570849	633510	1217539	1657300	1273938	820879	1242010	846747	12788	120	2279363	18046	1314749	1437265	1670087	1924267	481767	884155	1239260	1542457	973632	1548115	546636	1585216	1064004	892177	1804559	1733385	1091030	1795388	1586132
4	Win002_C02	247.21	-99	647102	932125	1031703	42790	192867	905076	392586	124357	548046	994430	55889	242142	311116	1026656	972976	783854	1340599	737179	621180	622831	681648	948906	1507869	215919	950791	352306	928819	1535609	1055209	649170	750652	1291968	2070360	994261	1118522	1980596	1958183	1819786	636964	1228927	2962177	1189539	226001	606881	916048	1157530	779837	126785	11515	6182	30308	47550	6578	9404	51625	69520	10064	14419	2861	1476	106099	5777	3808	3624	7592	8575	300	800670	79288	732	45006	19352	98831	8395	658	798	8482	7338	28597	5147	1292246	192703	103994	1367004	1282921	182375	1333422	1439809
5	Win002_C03	255.24	-99	1180856	825605	1166641	5455	417058	930415	1267	417073	666414	751131	67	477505	600797	1159514	1244209	1088153	916218	757664	792134	1502	1136905	1249200	1071721	688941	880748	747055	1798670	1145040	1467617	935898	431373	965351	1762269	1197695	1162575	1137361	1298552	1057264	5593	1765371	1478045	922978	1028	623928	667954	900092	1550928	378545	28	20825	81	4886	628	2440	615	2421	1323	1988	817	11556	13	8440	825	10826	4665	2374	11	1208730	16145	1002	1121	2134	83	2867	7905	15153	3596	10025	3681	138	827505	8832	1595	603902	614971	8024	477539	590493
6	Win002_C04	268.72	-99	174846	133946	196669	2795	22739	167071	71823	15575	48307	107268	4833	54980	54652	216302	180470	214829	166400	70136	85322	50744	170437	197329	191521	52516	145569	98461	237487	167794	226246	114673	13266	185054	305146	157675	174867	182980	204698	165725	48696	247771	259818	158713	3899	29058	80574	108915	164838	2382	1475	41162	18828	8694	15937	10707	1650	25595	40282	30929	24774	30304	4383	11517	13329	103025	16875	38557	3576	216341	29002	21445	14318	26747	7142	5443	15592	42769	27537	62671	7553	10263	171115	1760	12473	86132	113887	143	105995	123583
7	Win003_C01	286.69	-99	3444622	2808681	3875040	217020	1671406	3248591	2131538	1875604	2130481	2992311	1941999	1791392	2239433	4375314	5027976	4034707	3022899	2787683	3348026	2010836	3546336	4745088	4417527	2628666	3328715	2876572	5826736	4109670	5272630	3646047	1545410	3295273	5574866	4003347	4106673	4125276	4507320	3600870	1876917	5883525	4732890	3247707	1262581	1936621	2320129	3226112	5454322	1742487	966	62924	702	282	102494	47	1063650	22367	182146	169317	637	23377	519825	15244	6790	43668	15009	37873	2903	3906698	32268	107984	159026	210572	940015	15	15735	20559	86331	24615	194044	0	2901666	1284292	111480	1904567	2093233	938243	1507926	2220188
8	Win003_C02	322.95	-99	1834095	1557604	2159547	676501	1153640	1463451	1099063	923530	1031659	1348494	973588	1273676	1313004	1681368	1868441	1609471	1927007	1095526	1411995	1112624	1924964	1773285	1817592	1256379	1464339	1585671	1930822	1844944	1982659	1503588	1071841	1748128	2438996	1204957	1723854	2164144	1630392	1805031	895478	2449300	2101313	1463307	681498	1055598	1270630	1564560	1585886	923471	4916	123157	108724	46286	801144	90741	798012	79632	98284	867146	81673	67564	1051447	44873	39250	51445	64169	39049	1591	1874907	142804	619757	1162035	869796	1072795	58378	28094	47910	51268	90957	730067	42855	1529698	756696	98988	1105935	1139052	685169	1127347	1184187
9	Win004_C01	361.14	-99	488357	595595	699584	8370	155905	589945	231982	148561	270414	544592	83805	169090	336878	683225	889827	682019	718165	392972	350882	287977	520522	681554	917692	358575	471691	441416	812707	823102	876069	460339	451258	792215	1518129	824627	1010318	1186211	1329128	1098120	460556	1105919	2097778	743045	196188	342940	547568	744896	987083	123261	6585	5719	23050	14502	6016	15518	17505	25848	6447	7469	4720	5765	19597	6530	10942	7235	15172	5602	3545	600922	6039	11544	18917	16866	68756	8289	4767	4241	8610	2971	17271	9726	831792	138587	13756	618580	627539	153519	661970	805316
10	Win005_C01	389.38	-99	2192256	2500228	2709123	994384	1443844	1886289	1768301	62027	1938998	2339745	27292	94103	1860468	2846211	2525006	1939953	2275500	2226976	2195121	1841567	2752086	2890389	2245820	1839551	2014585	1804615	2866042	2721929	2909187	2200318	103087	2631662	3448155	2549713	2517192	2496266	3259276	3063058	66655	3278803	3212356	2367760	40393	2230165	2650224	3108454	3030691	1489347	5895	477622	0	0	901949	0	1037606	0	684050	788717	0	526379	849601	70298	0	447561	0	0	2055	1726152	0	1057206	960808	984395	1042295	0	0	610169	477677	752967	29088	0	2244009	19721	972490	2149460	2061637	992736	1442577	1526989
