Window	RT_s	RI	Annotated	X001	X002	X003	X004	X005	X006	X007	X008	X009	X010	X011	X012	X013	X014	X015	X016	X017	X018	X019	X020	X021	X022	X023	X024	X025	X026	X027	X028	X029	X030	X031	X032	X033	X034	X035	X036	X037	X038	X039	X040	X041	X042	X043	X044	X045	X046	X101	X102	X103	X104	X105	X106	X107	X108	X109	X109_1	X110	X111	X112	X113	X114	X115	X116	X117	X118	X119	X120	X121	X122	X123	X124	X125	X126	X127	X128	X129	X130	X131	X132	X133	X134
1	Win001_C01	114.03	-99	61937761	57895904	56699272	59215437	63990972	44386576	73926793	57812038	69152426	56338710	56064425	60661445	73246420	45726646	55676567	51372801	51539782	38806904	51352442	51400191	47307937	56861769	61191489	56379181	47619974	53912400	46819411	66103359	52827358	55692010	59187042	48843929	46205476	54052709	47187167	51112737	56551928	55096759	51182114	60445378	51337018	61993048	68726313	43501819	53255870	42854206	55859340	57402589	46020657	43754628	38531319	56073412	46919164	51407496	58266408	42297647	44758765	40147340	50825990	49077391	56008360	45294135	54292067	58001200	37992057	36126325	51871391	50246535	59051780	46173177	46740389	51650158	47780573	42015583	51270660	45265812	52122616	52344761	43819315	48194040	55140387
2	Win001_C02	117.56	-99	2065885	1189797	1175009	1328273	1405487	863073	1452396	1245725	1233668	1622878	1209765	1404664	1879454	1054561	1239759	875151	1176487	681483	955534	1013178	1015496	1299046	1068719	1401169	1023098	1001253	925039	1403168	965640	801261	1137458	958661	1089701	826796	713312	693986	2070284	968455	1158714	2052124	983785	1499050	1027906	478932	424495	332463	1056303	952652	1062706	1020734	819912	1334886	1009759	1263711	911197	283820	724204	643518	1056333	1059206	1386564	791672	1290062	949684	929783	891762	827920	1042814	1560882	1206476	1236129	815091	1108833	750044	728332	1121068	883901	1131313	960631	660831	976568
3	Win001_C03	121.09	-99	1623614	1652762	1691359	1546768	1963426	1298128	1924814	1642462	1938136	1707212	1829892	1680661	2058012	1426930	1761566	1459761	1345023	884653	1128457	1390881	1410021	1881299	1565026	1465122	1493406	1350220	1236239	1506812	1393371	1414251	1599533	1241499	1162726	1848941	1105474	1388048	1337493	1429372	1370015	1422556	1324220	1475174	1911874	1467272	1663964	1539975	1586740	1780968	2053983	1496157	1270071	1902735	1557585	1746121	1849721	1644498	977131	1248737	1772120	1896832	1891804	1228325	1901551	1270890	1272759	1066420	879809	1384937	1996438	1268419	1585572	1111566	1513442	962352	1412320	1378206	1880192	1835454	1397132	1002098	1576116
4	Win001_C04	127.83	-99	1716590	994643	1389713	781227	1564581	828040	1676871	1512107	1573184	1338205	1342225	1633052	1713566	953068	1365137	1034704	1067885	507489	660067	531743	624217	768089	1018808	1227875	619828	892784	533140	993419	513550	355997	942076	520780	590717	481577	280996	380222	644821	857328	529011	862985	755199	403117	579561	1252794	1752344	1630044	438270	933918	791719	368484	561574	1084535	737763	1139268	689392	1048557	651488	513558	717717	684505	1215813	663670	851291	806510	598188	858712	708808	952681	1052573	924574	799706	1023432	878062	474214	318338	413053	266308	451764	359029	372429	437482
5	Win001_C05	129.44	-99	5435812	7034793	4230981	7838403	5650334	3255259	4746328	5185401	4638178	5091286	4384663	5429277	6305057	3453946	5164453	4725589	4055454	2553674	5403547	7305443	5671568	6921036	6281164	5986261	6388028	3860764	6033980	6129255	6136728	9350425	7323214	6083901	5155956	7739507	7635824	8423975	5604719	5674989	5976104	5965264	5352348	6743076	8386713	1860516	2220460	1491323	8065789	6447936	3720513	8319420	4340310	4662833	3794642	4466337	3945117	1093358	2700924	4075237	4296588	5224159	3426457	2285534	4316729	4769126	3565754	2072620	1270929	2475854	4384252	1954420	3391837	2737190	3336663	3796162	7131356	4411606	6968390	5004927	5156414	5272520	7509400
6	Win001_C06	146.12	-99	2652571	4098783	2056937	4042893	3676848	1817690	2180626	2920401	1484832	3072060	2136141	3910419	3003270	1491195	2539794	2140918	1882016	982474	3229064	4104411	3099414	3600573	3898938	3193365	3104402	1764055	1927059	2812738	2453048	3872600	3288836	2770931	2300012	3169778	3101253	3367575	1863027	2811983	2471393	2728435	2176899	3032558	3455870	865776	1579283	1273274	3423146	2806693	1881016	4070802	1774408	2643246	1865104	1985307	1477604	781140	900856	1336868	1537271	2220231	1838050	1083736	1979079	1540170	1569361	1186709	739747	992837	2367476	1272401	1988902	1055143	1857943	942752	1852701	1122506	2358934	1324405	1833445	1516377	2590601
7	Win001_C07	148.69	-99	2614676	2687978	2342819	2712495	2872976	1576188	2658609	2420581	2591046	2597643	2405243	2829271	2952649	1794063	2533754	2122968	1909161	985063	1815862	2333229	1909885	2556184	2440493	2624826	1979923	1650193	1786134	2255071	1781051	1891407	3038158	1844377	1820093	2105165	1458547	2048310	1814517	2336052	1832103	2103013	2156203	1527329	2518673	1658969	2175860	1853300	2417338	2445483	1847939	1654932	1582504	2178488	1561606	2002615	1569390	1121524	1160744	1333961	1622794	1954257	2030448	1120367	1926348	1737827	1490618	1241220	896360	1435713	2211833	1319975	1656111	1389523	1597292	1321968	1675618	1296818	1584389	1556238	1312904	1285273	2014153
8	Win001_C08	151.26	-99	7152411	9341850	6179049	10336215	9265416	3311021	6389781	6750892	6416581	7987972	6081182	8105802	7295377	3408868	10520427	4339642	3897390	1524442	5083499	10243245	6119403	9131299	6404059	8384795	11327354	4193459	4239928	9161996	9396406	10595230	11953883	8421936	5794267	10018439	6788756	10937200	5348882	8016917	5732910	6303084	5300126	6492175	13301724	3153660	4610101	3164037	9813493	8214424	5476467	11860165	4859502	6018373	3272295	12387123	4071959	2473661	1779298	4966242	8702203	7107198	5909325	1898536	6453964	4085187	4587973	1714755	820052	2675942	4833967	1708577	2964363	2223274	3094001	2685945	7715573	5732196	8267363	6831498	6463235	4301499	8799954
9	Win001_C09	169.55	-99	3312341	3386855	2758213	2859806	3030721	2126876	4087507	2984287	3981669	3508721	3055916	3375034	4016202	2341716	3182461	3431164	2898959	1528896	1802697	2474799	2257218	2898322	4333134	2909847	2329959	2805285	2368768	3286608	2050905	2385842	2983105	2412224	2234908	2483989	1781538	1904425	2626149	3124385	2149752	2847191	2175132	2865097	3384272	1537744	2480541	2537672	3370923	2917304	3211270	2304159	2026238	3163866	2975817	5417753	2817989	1538916	1394609	1771933	2439960	2850662	3081775	1604711	2873547	2540880	1891944	1403286	1564944	2977894	3160142	2060656	2450859	1340920	2242498	1586762	2346356	1752436	2332191	1997652	1465295	1641831	3067987
10	Win001_C10	188.16	-99	1568014	1530984	1250046	1474568	1624782	792169	1365067	1356545	1390221	1544074	1243638	1699585	1723701	992466	1408210	1138704	994490	437428	929840	1458532	1076881	1566513	1358253	1532006	1119209	878816	1000711	1290320	1075545	1104880	1864569	930872	1016115	1351871	814068	1312033	801996	1237925	1071578	1019253	1213866	792575	1416045	967397	1307415	1055270	1544244	1479559	1117342	1122448	976187	1280170	945344	1072438	981813	663733	565092	599199	995049	1219552	1005071	585658	1138372	665772	906290	637343	429822	778104	1340169	734999	1063987	589304	1024563	628177	776656	729460	952449	943062	818399	604221	1065733
11	Win002_C01	225.71	-99	2129333	1776579	2152722	1592809	2251368	2308929	2596081	1940090	2496328	2137643	2810726	2048020	2546453	2053170	2052217	1798258	3186465	1603758	1307655	1376664	1712010	1978625	1960107	1669109	1536959	3494865	2184721	2059107	1632395	1472451	1841628	1418545	1413670	1932855	1150041	1283362	1809492	1867132	1662128	1836891	1679718	1650764	1867776	1632721	1790864	1594839	1572969	2044519	2476916	1300335	1566839	2376797	2199303	2080582	2253586	1762134	1307402	1437191	2106487	2102095	2625169	1525073	2412971	1625510	1658369	1326476	1195213	1868347	2558602	1930325	2427569	1243661	1971045	1212543	1483446	1769250	1927418	1976692	1484154	1107180	1713769
12	Win002_C02	246.25	-99	989068	1905907	984214	1909998	1606132	173361	943451	1254508	910858	1304648	899164	547041	1503921	385092	1210894	190644	725549	52834	1002774	1838618	1399307	1875594	1682136	1224113	1947022	678314	1142094	1574971	1914845	3085039	1815487	1446084	967791	2712797	1639056	2459404	535100	1339686	1350703	1306168	1004316	1881000	2411540	546481	723605	601428	1896442	1663524	908342	2238495	244722	1145706	264802	1573284	267693	75886	50335	423379	1420367	1420582	624930	25239	1220035	170195	248899	47152	0	64976	1113716	38278	152057	90114	234868	168456	1488826	958041	1839213	1351617	1409691	681662	1660992
13	Win002_C03	254.59	-99	1730184	1935655	1129530	2131427	1917071	12	1339712	1540355	1222566	1873369	1329689	1675355	1645597	2873	1666735	726949	890314	1611	941607	1543438	903575	1423973	1178071	1871102	1049194	710620	840043	1039066	708651	982512	1764361	688626	851209	981839	512314	876551	1091722	1048920	735674	1274934	867341	692722	1225357	585363	1161604	776773	1089353	1168767	582403	1087570	2618	974099	117	1014307	684	2159	11276	2584	578691	878217	705549	700	652329	154	2019	54	0	190	975242	5	319	969	336	1597	613213	3983	452080	523081	5447	5023	782558
14	Win002_C04	264.86	-99	307673	33942	312246	27927	162352	42235	417177	391611	366558	102616	376225	284297	51976	15664	331140	262967	257710	10761	262313	13176	354126	293999	356445	17021	394718	247106	347625	365937	252520	414346	62984	273569	193461	360941	254064	391088	315572	305246	266528	366091	226665	338641	366984	21977	346032	246178	408304	308715	244998	350589	211920	306840	17308	319366	26242	9194	6813	5887	245140	303027	259747	11781	275687	207471	118901	12010	51796	1607	276630	17713	60672	2433	12955	3398	344883	2938	298196	182844	4855	1834	433347
15	Win002_C05	270	-99	263693	225991	175703	228284	284963	78975	225218	258761	219875	274760	203780	163722	228089	100223	260476	125948	139639	0	155778	244008	176363	248128	195626	250567	199284	129318	189800	224825	150262	227754	243015	118112	179567	154675	127659	149267	199356	176999	130875	228019	135222	153512	243832	111046	238556	129538	246814	222585	126417	235457	101498	201719	107822	153371	95874	15262	4271	67927	135817	159495	141319	12908	137948	120531	81610	7503	1610	494	161529	21474	103096	43551	93508	11681	148040	66640	110303	97256	87731	89141	163203
16	Win003_C01	285.4	-99	5296005	2738023	3780748	1303387	4381109	1393289	4671539	4679235	3852471	4010886	3428389	4276102	2972194	2380785	4695834	2664122	2764486	28647	3818375	3635307	3029349	4099861	3753463	3104879	3899632	2602982	2832365	3109135	2432073	3157259	3079042	2302985	2716113	2844323	2138172	2719791	3380652	3557625	2321682	3949650	2688102	2529363	3166107	2060760	3970489	2386951	3301796	3379154	1689809	3414199	1836201	3175680	1816050	3091628	1829240	878892	34565	1439349	2082425	2309840	2551727	280	2319980	2578964	1415582	53449	19068	782225	2832028	623261	1340780	1407009	1662588	776449	2164642	1216134	1718406	1530707	1271108	1346176	2656740
17	Win003_C02	303.05	-99	1400481	1277344	1093605	1117919	1450728	1207366	1657340	1488835	1275733	1348942	1283660	1261308	1517177	896422	1264540	1055705	1090640	211775	679306	1011747	1058415	1450073	1352027	1214703	1003124	1208002	1166308	1029679	673618	727552	929863	678144	624524	983068	595901	622074	639186	865927	728651	1157414	759915	802204	781669	788008	1047946	1068998	923764	881172	1008795	863728	770605	1231492	950300	1227099	1287053	882432	628332	643585	1145732	1128951	1161166	715211	1158025	788387	723947	580020	197134	795145	1352804	917699	1018617	784813	844914	322877	604303	556352	739595	762658	411453	407414	716053
18	Win003_C03	323.27	-99	1553390	1320499	1311759	1229413	1505937	1156257	1731101	1417975	1712235	2020746	1845005	1055477	1514948	1102030	1322634	1303996	1619960	732078	979702	1025726	1304482	1424041	2405991	1323630	1235667	1601433	1340147	1611372	1303853	882556	1336215	1210322	1186155	1226894	1774593	1447791	2220390	1311607	1554397	1618579	1290275	1436478	1239494	2071608	1244360	1253999	1115964	1341573	1436888	1066330	1140478	1701022	1384282	1723410	1287591	1134591	572097	689793	1242859	1493631	1270791	1179274	1611197	1172035	1134272	607336	4275	1190899	1504177	952964	1504695	693591	1189428	849011	1232776	1982898	1369697	1303119	1081270	1141607	2001867
