"Window","RT_s","Ave_Area_Prop"
"Win001_C01",114.03,0
"Win001_C02",117.24,0.410861871948537
"Win001_C03",119.17,0.163031475034124
"Win001_C04",121.09,0.568431919603621
"Win001_C05",128.47,0.805582925486857
"Win001_C06",129.12,0.285295978273574
"Win001_C07",129.76,1.27661071316018
"Win001_C08",133.29,0.704017257983796
"Win001_C09",147.73,1.09791327323971
"Win001_C10",148.69,0.514115183886258
"Win001_C11",152.54,2.15575499497829
"Win001_C12",161.85,0.298560223666093
"Win001_C13",169.55,0.604094678306823
"Win001_C14",176.61,0.36516278135433
"Win001_C15",185.6,0.312366653777366
"Win001_C16",188.49,0.224635670469376
"Win001_C17",193.62,0.224713335207903
"Win001_C18",199.72,0.130889123504564
"Win002_C01",225.71,0.797074326442657
"Win002_C02",248.18,0.419450052875546
"Win002_C03",255.88,0.329543219582903
"Win002_C04",270.32,0.09652670530098
"Win003_C01",284.44,0.519590031275264
"Win003_C02",289.58,0.365622610449613
"Win003_C03",302.73,0.429162237818636
"Win003_C04",361.78,0.191474295569074
"Win004_C01",386.81,0.117483009435261
"Win004_C02",390.66,0.586831963379557
"Win004_C03",404.78,0.594977555913042
"Win004_C04",414.09,0.358548728762675
"Win004_C05",417.62,0.666783487921406
"Win004_C06",424.04,0.855939425780948
"Win004_C07",437.84,0.156137736925748
"Win005_C01",457.09,0.0865447196914685
"Win005_C02",461.59,0.0493708569886639
"Win005_C03",464.8,0.360391621093781
"Win005_C04",475.39,0.0934133989565131
"Win005_C05",485.01,0.0323772764861907
"Win006_C01",497.53,0.432404971797214
"Win006_C02",500.1,1.62796861443478
"Win006_C03",526.41,0.414311426364395
"Win007_C01",573.59,0.302401432982736
"Win007_C02",580.33,0.580283732741546
"Win007_C03",589.31,1.03629775169675
"Win007_C04",590.92,1.68908208891797
"Win007_C05",597.34,0.781809017517475
"Win007_C06",607.28,0.544466881867173
"Win007_C07",618.2,0.508155584526316
"Win007_C08",625.58,0.201670457467326
"Win008_C01",632,0.00869812439264869
"Win008_C02",638.41,0.078191382140483
"Win008_C03",644.19,0.0559121396782527
"Win008_C04",649.64,0.0644082976797796
"Win008_C05",652.53,0.136049341683219
"Win008_C06",660.88,0.220221914851148
"Win008_C07",665.37,0.0494963551568377
"Win008_C08",668.58,0.00878080633854955
"Win009_C01",671.79,0.0677040182630569
"Win009_C02",674.68,0.0676626976852584
"Win009_C03",689.76,0.16242291089424
"Win009_C04",692.33,1.82573897498348
"Win009_C05",696.5,0.110260990961513
"Win009_C06",703.88,0.489759470216317
"Win009_C07",708.05,0.503281537522694
"Win009_C08",712.22,0.0946963083996194
"Win009_C09",715.11,0.351195365510535
"Win009_C10",723.78,0.253014994098002
"Win009_C11",725.38,0.17414698239728
"Win009_C12",726.35,0.366475209380654
"Win009_C13",730.52,0.156894165917082
"Win009_C14",733.08,0.0735842940787812
"Win009_C15",736.93,0.0869516709561968
"Win010_C01",744.64,0.110781747173978
"Win010_C02",748.49,0.0512092487895787
"Win010_C03",750.09,0.111878870379823
"Win010_C04",753.94,0.0464100927838224
"Win010_C05",758.12,0.0339042615107583
"Win010_C06",761.33,0.458776868605777
"Win010_C07",764.21,0.574843448336668
"Win010_C08",767.1,0.160631876636094
"Win010_C09",769.03,0.866909298162598
"Win010_C10",783.47,0.132325662828732
"Win011_C01",792.77,0.0613366382355421
"Win011_C02",794.06,0.164220797923434
"Win011_C03",798.55,0.889212035839845
"Win011_C04",803.69,0.379734029662761
"Win011_C05",811.39,0.852079276166551
"Win011_C06",819.41,1.49194314867608
"Win011_C07",822.62,0.182214203160305
"Win011_C08",825.19,0.520762099866046
"Win011_C09",831.28,0.551533244541435
"Win011_C10",837.06,0.432136653178499
"Win012_C01",846.37,0.326498141820007
"Win012_C02",847.33,2.87609598869153
"Win012_C03",859.53,6.40423458371909
"Win012_C04",864.66,17.2651383472009
"Win012_C05",870.12,0.239429905772179
"Win012_C06",873.97,0.807896973020949
"Win012_C07",892.26,1.17420978260521
"Win012_C08",901.25,0.727084392358395
"Win012_C09",926.28,0.116951892485618
"Win012_C10",935.9,2.69238921392633
"Win012_C11",973.13,0.105175133506773
"Win013_C01",980.83,0.278520980739702
"Win013_C02",990.14,0.111350119267803
"Win013_C03",997.2,0.0650882176578619
"Win013_C04",999.12,0.112448520569834
"Win013_C05",1001.05,0.127167824084468
"Win013_C06",1002.01,0.303318426206786
"Win013_C07",1005.22,0.607256729064389
"Win013_C08",1008.75,0.191740629059669
"Win013_C09",1013.89,0.118570139016662
"Win013_C10",1017.42,0.143516278738042
"Win013_C11",1023.19,0.268304899576404
"Win013_C12",1024.8,0.0769547968857806
"Win013_C13",1027.04,0.0757640191423
"Win013_C14",1028.33,0.12571418002622
"Win014_C01",1038.6,0.0242679601295947
"Win014_C02",1050.15,0.116390876243254
"Win014_C03",1052.4,0.0172059756146122
"Win014_C04",1054.64,0.0362245363645711
"Win014_C05",1057.21,0.14687266809991
"Win014_C06",1064.91,0.0706954703731604
"Win014_C07",1067.16,0.182277768050469
"Win014_C08",1069.41,0.0276589940561979
"Win014_C09",1071.65,0.0502909638725739
"Win014_C10",1075.82,0.102127703503022
"Win014_C11",1077.75,0.0351983474971191
"Win014_C12",1079.68,0.0315470850287306
"Win014_C13",1084.49,0.256287450611318
"Win014_C14",1085.13,0.00845626508436314
"Win014_C15",1086.74,0.019440917152774
"Win014_C16",1088.02,0.10309178233448
"Win014_C17",1090.91,0.0317199951267443
"Win014_C18",1093.15,0.063505839400668
"Win014_C19",1095.08,0.0240766943948492
"Win014_C20",1097.65,0.0429336439609605
"Win014_C21",1099.89,0.0143713350292702
"Win014_C22",1101.82,0.0194456352312524
"Win015_C01",1112.09,0.19331990725377
"Win015_C02",1116.9,0.167495661064676
"Win015_C03",1117.86,0.255624553786708
"Win015_C04",1119.79,0.20423361138702
"Win015_C05",1123,0.625578441860168
"Win015_C06",1123.32,0.136199150872487
"Win015_C07",1124.92,0.0792958883913241
"Win015_C08",1125.25,0.119421215109693
"Win015_C09",1125.89,0.210257047572485
"Win015_C10",1126.53,0.973843105619798
"Win015_C11",1127.17,0.0380855667841219
"Win015_C12",1128.78,0.186782554030119
"Win015_C13",1131.66,0.223452044625837
"Win015_C14",1133.59,0.0668599852958243
