"Window","tot_area","Ave_Area_Prop"
"Win001_C02",7993858,0.589473401542674
"Win001_C03",11401681,0.840768960666361
"Win001_C04",2538560,0.187195419060505
"Win001_C05",43165324,3.18304507873065
"Win001_C06",15227015,1.12285211063185
"Win001_C07",52865499,3.89834364330475
"Win002_C01",14064088,1.03709695530687
"Win002_C02",6007232,0.442978031495681
"Win002_C03",3972597,0.292942439876743
"Win002_C04",1308233,0.0964701345108178
"Win002_C05",447552,0.0330028379047047
"Win003_C01",3119570,0.230039555274872
"Win003_C02",13759804,1.01465881285863
"Win003_C03",3438357,0.253547160395902
"Win003_C04",8141737,0.600378115780371
"Win003_C05",1174256,0.0865905647313092
"Win004_C01",12113460,0.89325610620693
"Win004_C02",15690661,1.15704173280573
"Win004_C03",17902223,1.32012406112111
"Win005_C01",8230021,0.606888247656843
"Win005_C02",38582937,2.84513624271243
"Win005_C03",5833657,0.430178473926261
"Win006_C01",10003879,0.737693937364327
"Win006_C02",12581776,0.927790097868636
"Win006_C03",20366130,1.50181450900933
"Win006_C04",36920416,2.72254063130601
"Win006_C05",16190095,1.19387039036083
"Win006_C06",19919807,1.46890229853515
"Win006_C07",14264744,1.05189348720173
"Win006_C08",17362930,1.28035616943
"Win006_C09",7203455,0.531188460153981
"Win006_C10",6109810,0.450542214219898
"Win007_C01",18399196,1.3567712425928
"Win007_C02",38474464,2.83713735803302
"Win007_C03",22547936,1.66270260638687
"Win007_C04",8912220,0.657194140638557
"Win007_C05",9254353,0.682423298235552
"Win007_C06",2057274,0.151705009356596
"Win008_C01",22927411,1.69068539255225
"Win008_C02",4560866,0.336321860483427
"Win008_C03",23252680,1.71467098547201
"Win008_C04",22851435,1.68508286231521
"Win008_C05",22930173,1.69088906461335
"Win008_C06",6342322,0.467687832710931
"Win008_C07",6822561,0.50310103580804
"Win008_C08",10518286,0.775626715763363
"Win008_C09",2107003,0.155372065086798
"Win009_C01",312890170,23.0727682201967
"Win009_C02",74847579,5.51931958140412
"Win009_C03",45124021,3.32748094226255
"Win009_C04",13650312,1.00658478631454
"Win009_C05",14409155,1.0625424683808
"Win010_C01",7188170,0.530061332183659
"Win010_C02",8423959,0.621189388926601
"Win010_C03",2991372,0.220586133518948
